name,price,colour,quantity,sexe,category,path_img
Zoom Heaven,243,"blue, green, purple",100,M,Basket,
Paradise II,123,blue,100,F,Soiree,
Airmax,13,green,50,A,Tong,
Crocs,423,"green, purple",50,A,Talons,
Louis Vuitton,80,red,505,A,Basket,
Charnel,789,"red, green",59,M,Soiree,
Readbook,67,"green, purple",12,A,Tong,
Yeezy,98,"red, purple",9,M,Talons,
Air Force,6,white ,5,M,Basket,
Crocs II,5,white ,13,M,Soiree,
Bensimon,67,white ,12,F,Tong,
Vin Diesel,87,black,43,A,Talons,
Loulou,67,"blue, white, blacl",4,M,Basket,
Abercombie,678,"purple, red, pink",2,A,Soiree,
Fitch,47,"red, purple",23,A,Tong,
Monop Daily,23,white ,5,F,Talons,
